iter	Passed	Remaining
136	2453	15454
137	2472	15442
138	2489	15423
139	2507	15401
140	2526	15391
141	2545	15379
142	2563	15362
143	2581	15345
144	2598	15324
145	2617	15308
146	2636	15296
147	2653	15272
148	2671	15257
149	2688	15236
150	2708	15230
151	2726	15210
152	2744	15194
153	2763	15180
154	2779	15154
155	2797	15132
156	2816	15122
157	2835	15108
158	2852	15087
159	2869	15064
160	2887	15044
161	2906	15032
162	2922	15006
163	2941	14993
164	2959	14974
165	2976	14955
166	2995	14939
167	3012	14919
168	3031	14907
169	3048	14885
170	3066	14867
171	3085	14852
172	3103	14834
173	3122	14824
174	3139	14802
175	3158	14788
176	3177	14775
177	3195	14758
178	3215	14748
179	3233	14731
180	3250	14710
181	3268	14688
182	3284	14664
183	3301	14640
184	3318	14619
185	3336	14600
186	3353	14580
187	3372	14565
188	3390	14549
189	3408	14532
190	3428	14521
191	3444	14497
192	3462	14479
193	3480	14458
194	3497	14437
195	3514	14416
196	3532	14400
197	3551	14386
198	3570	14371
199	3587	14350
200	3604	14329
201	3623	14313
202	3641	14296
203	3658	14273
204	3677	14263
205	3695	14243
206	3714	14229
207	3732	14211
208	3748	14188
209	3767	14172
210	3786	14158
211	3803	14138
212	3821	14120
213	3839	14100
214	3858	14087
215	3874	14064
216	3892	14044
217	3909	14023
218	3927	14004
219	3945	13987
220	3964	13972
221	3981	13952
222	3996	13925
223	4014	13908
224	4032	13889
225	4049	13867
226	4067	13850
227	4086	13836
228	4104	13818
229	4123	13805
230	4140	13783
231	4158	13764
232	4176	13748
233	4195	13734
234	4214	13720
235	4233	13703
236	4249	13682
237	4267	13663
238	4284	13642
239	4302	13625
240	4322	13614
241	4339	13593
242	4358	13578
243	4376	13560
244	4392	13537
245	4411	13522
246	4429	13503
247	4447	13485
248	4464	13464
249	4481	13445
250	4500	13429
251	4517	13409
252	4534	13387
253	4553	13374
254	4570	13353
255	4587	13331
256	4605	13313
257	4622	13295
258	4640	13276
259	4658	13259
260	4677	13244
261	4704	13251
262	4722	13234
263	4739	13213
264	4756	13193
265	4776	13179
266	4792	13156
267	4810	13137
268	4828	13120
269	4845	13101
270	4862	13079
271	4879	13060
272	4897	13041
273	4917	13028
274	4934	13008
275	4952	12990
276	4969	12970
277	4987	12953
278	5005	12936
279	5024	12920
280	5043	12904
281	5060	12885
282	5079	12869
283	5098	12855
284	5116	12835
285	5133	12816
286	5150	12796
287	5167	12774
288	5185	12757
289	5203	12740
290	5223	12725
291	5240	12706
292	5258	12687
293	5276	12671
294	5294	12653
295	5311	12632
296	5328	12612
297	5345	12593
298	5361	12569
299	5379	12551
300	5398	12536
301	5415	12515
302	5433	12498
303	5450	12479
304	5468	12460
305	5484	12439
306	5503	12422
307	5519	12401
308	5536	12380
309	5553	12361
310	5570	12341
311	5589	12324
312	5606	12306
313	5624	12288
314	5642	12270
315	5661	12254
316	5681	12242
317	5704	12233
318	5721	12214
319	5740	12198
320	5760	12184
321	5778	12166
322	5794	12146
323	5811	12125
324	5828	12105
325	5845	12085
326	5862	12065
327	5881	12049
328	5898	12030
329	5918	12015
330	5935	11996
331	5953	11979
332	5970	11959
333	5988	11940
334	6005	11920
335	6021	11900
336	6039	11882
337	6058	11866
338	6077	11849
339	6094	11830
340	6111	11809
341	6128	11790
342	6147	11775
343	6164	11755
344	6180	11734
345	6198	11717
346	6217	11700
347	6234	11681
348	6252	11662
349	6269	11643
350	6286	11623
351	6305	11607
352	6324	11591
353	6342	11573
354	6358	11553
355	6377	11536
356	6395	11519
357	6412	11499
358	6429	11480
359	6447	11463
360	6465	11444
361	6481	11424
362	6499	11404
363	6517	11387
364	6534	11367
365	6552	11350
366	6570	11332
367	6589	11316
368	6607	11298
369	6624	11279
370	6641	11260
371	6662	11248
372	6687	11242
373	6705	11223
374	6723	11205
375	6741	11188
376	6760	11171
377	6777	11151
378	6795	11134
379	6813	11116
380	6830	11097
381	6848	11079
382	6866	11061
383	6884	11043
384	6900	11022
385	6917	11003
386	6934	10984
387	6953	10967
388	6971	10950
389	6989	10932
390	7007	10914
391	7024	10895
392	7042	10878
393	7060	10858
394	7078	10841
395	7096	10823
396	7115	10808
397	7133	10789
398	7150	10770
399	7167	10751
400	7185	10733
401	7202	10714
402	7220	10696
403	7237	10677
404	7255	10659
405	7273	10641
406	7291	10623
407	7309	10606
408	7326	10586
409	7343	10567
410	7361	10549
411	7379	10532
412	7399	10516
413	7416	10498
414	7435	10480
415	7454	10464
416	7471	10446
417	7488	10427
418	7506	10408
419	7523	10390
420	7542	10373
421	7561	10356
422	7578	10337
423	7595	10318
424	7612	10299
425	7630	10281
426	7649	10264
427	7670	10250
428	7688	10233
429	7706	10215
430	7723	10196
431	7740	10177
432	7756	10157
433	7773	10138
434	7790	10118
435	7807	10100
436	7827	10084
437	7844	10065
438	7861	10046
439	7878	10027
440	7895	10007
441	7912	9989
442	7930	9970
443	7948	9953
444	7964	9933
445	7983	9916
446	8000	9898
447	8019	9880
448	8037	9863
449	8053	9843
450	8070	9824
451	8088	9806
452	8106	9788
453	8125	9771
454	8142	9752
455	8160	9734
456	8178	9717
457	8196	9700
458	8214	9682
459	8232	9663
460	8250	9645
461	8268	9628
462	8285	9610
463	8302	9590
464	8319	9572
465	8338	9555
466	8355	9536
467	8373	9518
468	8390	9499
469	8408	9481
470	8426	9463
471	8444	9446
472	8463	9429
473	8480	9410
474	8497	9391
475	8514	9373
476	8532	9355
477	8550	9337
478	8568	9319
479	8587	9303
480	8605	9285
481	8623	9267
482	8645	9254
483	8663	9236
484	8680	9217
485	8699	9200
486	8717	9182
487	8736	9165
488	8751	9144
489	8770	9128
490	8787	9110
491	8804	9091
492	8822	9072
493	8839	9054
494	8856	9035
495	8873	9016
496	8891	8998
497	8910	8981
498	8928	8963
499	8946	8946
500	8964	8928
501	8982	8910
502	8999	8892
503	9019	8876
504	9036	8857
505	9054	8839
506	9071	8820
507	9087	8801
508	9105	8783
509	9124	8767
510	9141	8748
511	9161	8731
512	9178	8713
513	9197	8696
514	9215	8678
515	9233	8661
516	9252	8643
517	9269	8625
518	9286	8606
519	9304	8588
520	9321	8569
521	9340	8552
522	9357	8534
523	9374	8515
524	9391	8497
525	9410	8480
526	9428	8462
527	9448	8446
528	9466	8428
529	9484	8411
530	9501	8392
531	9518	8373
532	9536	8355
533	9555	8338
534	9572	8319
535	9589	8301
536	9607	8283
537	9625	8265
538	9642	8247
539	9661	8230
540	9677	8210
541	9695	8192
542	9713	8175
543	9731	8156
544	9747	8138
545	9765	8120
546	9785	8103
547	9803	8086
548	9820	8067
549	9839	8050
550	9857	8032
551	9874	8013
552	9893	7997
553	9912	7980
554	9931	7963
555	9948	7944
556	9965	7926
557	9983	7907
558	9999	7889
559	10019	7872
560	10037	7854
561	10054	7836
562	10073	7818
563	10092	7802
564	10110	7784
565	10128	7766
566	10147	7749
567	10164	7730
568	10182	7713
569	10201	7695
570	10218	7677
571	10236	7659
572	10254	7641
573	10271	7623
574	10290	7606
575	10309	7588
576	10327	7570
577	10345	7553
578	10365	7536
579	10383	7519
580	10401	7500
581	10420	7483
582	10439	7466
583	10456	7448
584	10472	7429
585	10490	7411
586	10507	7393
587	10524	7374
588	10541	7356
589	10558	7337
590	10575	7318
591	10593	7300
592	10610	7282
593	10629	7265
594	10649	7248
595	10666	7230
596	10683	7211
597	10701	7194
598	10720	7176
599	10738	7159
600	10757	7141
601	10775	7123
602	10793	7105
603	10812	7089
604	10829	7070
605	10848	7053
606	10866	7035
607	10886	7018
608	10904	7001
609	10922	6983
610	10941	6966
611	10963	6950
612	10983	6934
613	11001	6916
614	11020	6899
615	11039	6881
616	11057	6863
617	11077	6847
618	11095	6829
619	11113	6811
620	11131	6793
621	11148	6775
622	11170	6759
623	11187	6741
624	11205	6723
625	11223	6705
626	11240	6687
627	11258	6669
628	11277	6651
629	11294	6633
630	11312	6615
631	11330	6597
632	11349	6580
633	11367	6562
634	11384	6543
635	11401	6525
636	11420	6507
637	11437	6489
638	11455	6471
639	11473	6453
640	11492	6436
641	11509	6418
642	11527	6399
643	11545	6382
644	11562	6363
645	11582	6347
646	11601	6329
647	11618	6311
648	11635	6292
649	11653	6274
650	11671	6257
651	11690	6239
652	11707	6221
653	11726	6203
654	11744	6185
655	11764	6168
656	11781	6150
657	11798	6132
658	11816	6114
659	11834	6096
660	11852	6078
661	11868	6059
662	11887	6042
663	11904	6024
664	11921	6005
665	11937	5986
666	11959	5970
667	11978	5953
668	11996	5935
669	12014	5917
670	12034	5900
671	12052	5882
672	12071	5865
673	12088	5846
674	12105	5828
675	12122	5810
676	12140	5792
677	12158	5774
678	12176	5756
679	12194	5738
680	12213	5721
681	12231	5703
682	12250	5685
683	12267	5667
684	12284	5649
685	12304	5632
686	12322	5614
687	12339	5595
688	12359	5578
689	12376	5560
690	12394	5542
691	12412	5524
692	12430	5506
693	12450	5489
694	12467	5471
695	12484	5452
696	12501	5434
697	12519	5416
698	12538	5399
699	12555	5380
700	12573	5362
701	12590	5344
702	12608	5326
703	12626	5308
704	12643	5290
705	12661	5272
706	12681	5255
707	12699	5237
708	12718	5219
709	12735	5201
710	12753	5183
711	12772	5166
712	12790	5148
713	12808	5130
714	12829	5113
715	12847	5095
716	12866	5078
717	12885	5060
718	12906	5044
719	12926	5027
720	12945	5009
721	12963	4991
722	12981	4973
723	12999	4955
724	13018	4938
725	13038	4920
726	13056	4902
727	13073	4884
728	13092	4867
729	13111	4849
730	13130	4832
731	13148	4813
732	13165	4795
733	13182	4777
734	13201	4759
735	13217	4741
736	13236	4723
737	13255	4705
738	13274	4688
739	13293	4670
740	13309	4652
741	13327	4633
742	13345	4615
743	13362	4597
744	13379	4579
745	13398	4561
746	13414	4543
747	13433	4525
748	13451	4507
749	13469	4489
750	13487	4471
751	13504	4453
752	13522	4435
753	13539	4417
754	13557	4399
755	13574	4381
756	13592	4363
757	13609	4345
758	13628	4327
759	13646	4309
760	13663	4291
761	13680	4272
762	13699	4255
763	13715	4236
764	13733	4218
765	13751	4200
766	13768	4182
767	13784	4164
768	13801	4145
769	13819	4127
770	13838	4110
771	13856	4092
772	13872	4073
773	13889	4055
774	13907	4037
775	13926	4020
776	13943	4001
777	13960	3983
778	13977	3965
779	13996	3947
780	14014	3929
781	14032	3911
782	14050	3893
783	14069	3876
784	14085	3857
785	14103	3839
786	14122	3822
787	14139	3804
788	14158	3786
789	14175	3768
790	14193	3750
791	14211	3732
792	14228	3714
793	14246	3696
794	14265	3678
795	14282	3660
796	14301	3642
797	14318	3624
798	14335	3606
799	14353	3588
800	14370	3570
801	14388	3552
802	14406	3534
803	14426	3516
804	14444	3498
805	14461	3480
806	14479	3462
807	14497	3444
808	14517	3427
809	14534	3409
810	14552	3391
811	14570	3373
812	14588	3355
813	14609	3338
814	14626	3320
815	14643	3302
816	14662	3284
817	14679	3266
818	14696	3248
819	14714	3230
820	14731	3211
821	14749	3193
822	14767	3176
823	14785	3158
824	14803	3140
825	14820	3121
826	14837	3103
827	14854	3085
828	14873	3068
829	14892	3050
830	14909	3032
831	14928	3014
832	14946	2996
833	14964	2978
834	14982	2960
835	14999	2942
836	15017	2924
837	15037	2906
838	15055	2889
839	15072	2871
840	15090	2853
841	15108	2835
842	15125	2816
843	15142	2798
844	15161	2781
845	15177	2762
846	15195	2744
847	15213	2726
848	15232	2709
849	15250	2691
850	15270	2673
851	15288	2655
852	15305	2637
853	15323	2619
854	15340	2601
855	15359	2583
856	15376	2565
857	15394	2547
858	15412	2529
859	15430	2512
860	15448	2494
861	15465	2475
862	15485	2458
863	15503	2440
864	15521	2422
865	15538	2404
866	15555	2386
867	15572	2368
868	15591	2350
869	15610	2332
870	15627	2314
871	15645	2296
872	15664	2278
873	15681	2260
874	15698	2242
875	15715	2224
876	15734	2206
877	15751	2188
878	15770	2170
879	15789	2153
880	15808	2135
881	15826	2117
882	15845	2099
883	15862	2081
884	15881	2063
885	15898	2045
886	15915	2027
887	15933	2009
888	15950	1991
889	15968	1973
890	15988	1955
891	16006	1937
892	16025	1920
893	16043	1902
894	16060	1884
895	16077	1866
896	16096	1848
897	16112	1830
898	16128	1812
899	16146	1794
900	16163	1776
901	16182	1758
902	16200	1740
903	16218	1722
904	16237	1704
905	16254	1686
906	16272	1668
907	16290	1650
908	16307	1632
909	16324	1614
910	16342	1596
911	16361	1578
912	16378	1560
913	16396	1542
914	16413	1524
915	16431	1506
916	16450	1489
917	16466	1470
918	16483	1452
919	16502	1434
920	16519	1416
921	16537	1399
922	16554	1381
923	16572	1363
924	16591	1345
925	16610	1327
926	16628	1309
927	16646	1291
928	16665	1273
929	16684	1255
930	16702	1237
931	16718	1219
932	16735	1201
933	16752	1183
934	16770	1165
935	16787	1147
936	16804	1129
937	16823	1111
938	16839	1093
939	16856	1075
940	16873	1057
941	16891	1040
942	16908	1022
943	16925	1004
944	16942	986
945	16959	968
946	16977	950
947	16995	932
948	17013	914
949	17031	896
950	17048	878
951	17066	860
952	17084	842
953	17102	824
954	17119	806
955	17136	788
956	17153	770
957	17168	752
958	17185	734
959	17203	716
960	17221	698
961	17239	680
962	17257	663
963	17274	645
964	17291	627
965	17311	609
966	17329	591
967	17346	573
968	17365	555
969	17383	537
970	17402	519
971	17418	501
972	17435	483
973	17452	465
974	17470	447
975	17488	430
976	17507	412
977	17524	394
978	17543	376
979	17560	358
980	17578	340
981	17595	322
982	17613	304
983	17631	286
984	17648	268
985	17666	250
986	17685	232
987	17703	215
988	17721	197
989	17741	179
990	17759	161
991	17777	143
992	17793	125
993	17811	107
994	17829	89
995	17847	71
996	17863	53
997	17881	35
998	17898	17
999	17915	0
